what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1300997702557
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1300997702558
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1300997702559
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1300997702560
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1300997702561
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1300997702561
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1300997702561
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1300997702561
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1300997702561
os,sysinfo,,,"win32",1300997702564
arch,sysinfo,,,"x86",1300997702564
ws,sysinfo,,,"win32",1300997702564
locale,sysinfo,,,"en_US",1300997702564
processors,sysinfo,,,"8",1300997702565
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1300997702565
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1300997702565
java.specification.name,sysinfo,,,"Java Platform API Specification",1300997702565
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300997702565
java.specification.version,sysinfo,,,"1.6",1300997702565
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1300997702565
java.version,sysinfo,,,"1.6.0_21",1300997702565
java.vm.info,sysinfo,,,"mixed mode, sharing",1300997702565
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1300997702565
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300997702565
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300997702565
java.vm.specification.version,sysinfo,,,"1.0",1300997702565
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1300997702565
java.vm.version,sysinfo,,,"17.0-b17",1300997702565
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300997704030
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300997704065
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1300997704208
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997706248
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997730801
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997736628
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997772376
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997777683
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997783677
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1300997783688
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997789073
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300997801758
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1300997801863
